REF_DATE,GEO,DGUID,Type of employees,Overtime,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012-02-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,887.87,A,,,2
2012-03-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,890.28,A,,,2
2012-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,889.14,A,,,2
2012-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,888.13,A,,,2
2012-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,895.01,A,,,2
2012-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,897.41,A,,,2
2012-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,899.81,A,,,2
2012-09-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,898.87,A,,,2
2012-10-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,903.54,A,,,2
2012-11-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,904.06,A,,,2
2012-12-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,908.26,A,,,2
2013-01-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,898.92,A,,,2
2013-02-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,912.21,A,,,2
2013-03-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,905.46,A,,,2
2013-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,905.69,A,,,2
2013-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,910.73,A,,,2
2013-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,911.97,A,,,2
2013-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,907.17,A,,,2
2013-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,907.25,A,,,2
